date,gamePk,away_name,home_name,pick,pick_prob,grade,home_win_prob,elo_diff,outcome,result
2026-05-05,823062,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,0.5477,C,0.4523,62.73,PENDING,
2026-05-05,824281,Boston Red Sox,Detroit Tigers,Detroit Tigers,0.522,C,0.522,25.64,MISS,10-3
2026-05-05,822986,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,0.5159,C,0.5159,95.22,HIT,3-4
2026-05-05,823469,Athletics,Philadelphia Phillies,Philadelphia Phillies,0.5509,C,0.5509,35.34,HIT,1-9
2026-05-05,823873,Baltimore Orioles,Miami Marlins,Miami Marlins,0.5289,C,0.5289,68.78,MISS,9-7
2026-05-05,824200,Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,0.5829,B,0.4171,-105.39,MISS,1-2
2026-05-05,824040,Chicago White Sox,Los Angeles Angels,Los Angeles Angels,0.5256,C,0.5256,-76.21,HIT,3-4
2026-05-05,825092,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh Pirates,0.5253,C,0.4747,-139.18,MISS,0-9
2026-05-05,823142,Atlanta Braves,Seattle Mariners,Atlanta Braves,0.5744,C,0.4256,-73.71,HIT,3-2
2026-05-05,823227,San Diego Padres,San Francisco Giants,San Diego Padres,0.5372,C,0.4628,-109.41,HIT,10-5
2026-05-05,824682,Cincinnati Reds,Chicago Cubs,Chicago Cubs,0.5933,B,0.5933,124.3,HIT,2-3
2026-05-05,824119,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,0.5828,B,0.4172,-56.55,MISS,3-5
2026-05-05,822743,Minnesota Twins,Washington Nationals,Minnesota Twins,0.5477,C,0.4523,-16.38,HIT,11-3
2026-05-05,824362,New York Mets,Colorado Rockies,New York Mets,0.5477,C,0.4523,21.66,PENDING,
2026-05-06,823141,Atlanta Braves,Seattle Mariners,Atlanta Braves,0.5744,C,0.4256,-73.71,PENDING,
2026-05-06,824361,New York Mets,Colorado Rockies,New York Mets,0.5532,C,0.4468,21.66,PENDING,
2026-05-06,822985,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,0.5159,C,0.5159,95.22,PENDING,
2026-05-06,823063,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,0.5477,C,0.4523,62.73,PENDING,
2026-05-06,824198,Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,0.5829,B,0.4171,-105.39,PENDING,
2026-05-06,823226,San Diego Padres,San Francisco Giants,San Diego Padres,0.5372,C,0.4628,-109.41,PENDING,
2026-05-06,823872,Baltimore Orioles,Miami Marlins,Miami Marlins,0.5208,C,0.5208,68.78,PENDING,
2026-05-06,822740,Minnesota Twins,Washington Nationals,Minnesota Twins,0.5532,C,0.4468,-16.38,PENDING,
2026-05-06,823550,Texas Rangers,New York Yankees,New York Yankees,0.6083,B,0.6083,138.31,PENDING,
2026-05-06,824683,Cincinnati Reds,Chicago Cubs,Chicago Cubs,0.5908,B,0.5908,124.3,PENDING,
2026-05-06,824118,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,0.5829,B,0.4171,-56.55,PENDING,
2026-05-06,824282,Boston Red Sox,Detroit Tigers,Detroit Tigers,0.522,C,0.522,25.64,PENDING,
2026-05-06,823470,Athletics,Philadelphia Phillies,Philadelphia Phillies,0.5509,C,0.5509,35.34,PENDING,
2026-05-06,824036,Chicago White Sox,Los Angeles Angels,Los Angeles Angels,0.5256,C,0.5256,-76.21,PENDING,
2026-05-06,825091,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh Pirates,0.5253,C,0.4747,-139.18,PENDING,
